20° Tr Città di Firenze
Manifestazione organizzata da Firenze Nuota Master
100 FA50 DO100 MI200 SL50 FA100 SL50 RA400 MIStatistiche
Avvertenze
tabella oraria

N_G  Gara  Batt.  TGara	TProgr  Fine_Gara	

------------Turno 1 - 08 marzo 2014----------									

1   100FA   12   0:24   0:24   14:24	
2   50DO    30   0:41   1:05   15:05	
3   100MX   31   1:05   2:11   16:11	
4   200SL   28   1:35   3:47   17:47
	
------------Turno 2 - 09 marzo 2014----------									

1   50FA    24	 0:32   0:32   09:17	
2   100SL   42	 1:23   1:55   10:40	
3   50RA    32	 0:44   2:39   11:24	
4   400MX    6	 0:43   3:22   12:07	
100 FA

1   SOSTEGNI SIMONE           M  M 45  FIRENZE NUOTA MASTER                02.40.00 
2   COLZI NICOLETTA           F  M 60  AMICI DEL NUOTO FIRENZE             02.08.00 
3   MEINI ANDREA              M  M 50  FIRENZE NUOTA MASTER                01.55.00 
4   NENCINI GIANLUCA          M  M 45  VIRTUS POGGIBONSI                   01.46.00 
5   MASSAFRA PAOLO            M  M 45  VILLAGGIO SPORT. ESCHILO            01.45.00 
6   LENZI ENRICO              M  M 45  AMICI DEL NUOTO FIRENZE             01.42.00 
7   BIONDI NICOLETTA          F  M 35  SEVEN MASTER NUOTO ASD              01.40.00 
8   MANCINI LUCILLA           F  M 45  NUOTO LUCCA CAPANNORI               01.40.00 
9   FABRIZI EMANUELE          M  M 45  AMICI DEL NUOTO FIRENZE             01.40.00 
10  MERCATELLI ALESSANDRO     M  M 35  AMICI DEL NUOTO FIRENZE             01.38.00 
11  BOTTAINI FRANCA           F  M 45  NUOTO LIVORNO                       01.34.00 
12  TUNG ROBERTO              M  M 45  01 ZEROUNO SSD - FIRENZE            01.33.00 
13  ORTOLANI LUCIO            M  M 55  NANTES OSTIENSIS                    01.33.00 
14  DESIDERI ELENA            F  M 45  NUOTO LIVORNO                       01.32.00 
15  VELARDI EUGENIO           M  M 60  CIRCOLO CANOTTIERI ANIENE           01.31.70 
16  MARIANI CLARISSA          F  U 25  NUOTO LIVORNO                       01.30.00 
17  IAGATTA CHIARA            F  M 25  VILLAGGIO SPORT. ESCHILO            01.30.00 
18  BETTARINI ROSSANO         M  M 40  H SPORT - PRATO                     01.30.00 
19  CAPOBIANCO DONATO         M  M 50  POLISPORTIVA SANGIULIANESE          01.30.00 
20  PIANESE GIUSEPPINA        F  M 40  IL GABBIANO NAPOLI                  01.29.00 
21  MOLLO GIACOMO             M  M 60  DLF NUOTO LIVORNO                   01.29.00 
22  PAOLESCHI ALESSIO         M  M 40  NUOTOPIU' ACADEMY                   01.28.00 
23  CANTORE FABIO             M  M 45  CS MARINA MILITARE                  01.28.00 
24  BARONTINI ILIO            M  M 60  DLF NUOTO LIVORNO                   01.28.00 
25  BOCHICCHIO MARCO          M  M 55  ZERO9                               01.27.00 
26  POMPIGNOLI MARCO          M  M 30  AMICI DEL NUOTO FIRENZE             01.25.00 
27  ARDUINO GIOVANNI          M  M 30  AMATORI NUOTO FOLLONICA             01.25.00 
28  LORINI ANDREA             M  M 45  AMICI DEL NUOTO FIRENZE             01.25.00 
29  SCHIAVONI CECILIA         F  M 50  ROMA NUOTO MASTER                   01.22.00 
30  PICCA RENATO              M  M 25  NETIUM                              01.20.00 
31  TIEZZI GIULIA             F  M 25  AMATORI NUOTO FOLLONICA             01.20.00 
32  FIORE GIUSEPPE            M  M 40  SONCINO SPORTING CLUB               01.20.00 
33  GUERRINI EMANUELE         M  M 45  FIORENTINA NUOTO                    01.20.00 
34  ZAZZETTA MASSIMO          M  M 45  DLF NUOTO LIVORNO                   01.20.00 
35  CAPRINI PIERO             M  M 45  FIRENZE NUOTA MASTER                01.20.00 
36  SARTORE FRANCESCO         M  M 45  S.S.D. STILELIBERO SRL              01.20.00 
37  GILIBERTI CHIARA          F  U 25  NUOTO VALDINIEVOLE                  01.18.00 
38  ARDITO ALESSANDRO         M  M 25  NETIUM                              01.18.00 
39  DE VINCENTIS ANDREA       M  M 50  DLF NUOTO LIVORNO                   01.18.00 
40  LAIS GIORGIO              M  M 50  FLAMINIO SPORTING CLUB              01.18.00 
41  CORRIAS MARIO             M  M 45  NUOTO LUCCA CAPANNORI               01.17.00 
42  GIBELLI AURORA            F  M 25  AQUATICA TORINO                     01.16.00 
43  PASTORINO CARLO MICHELE   M  M 45  POLISPORTIVA SANGIULIANESE          01.16.00 
44  WARD DANIEL JOSEPH        M  M 55  KLAB NUOTO MASTER                   01.15.20 
45  CIALDINI GIULIA           F  U 25  DLF NUOTO LIVORNO                   01.15.00 
46  ALFANO ARIANNA            F  M 25  SPORTING CLUB TUSCOLANO             01.15.00 
47  PAGNINI CLAUDIO           M  M 25  CSI NUOTO PRATO                     01.15.00 
48  SANTONI GIAMPIERO         M  M 50  FIRENZE NUOTA MASTER                01.15.00 
49  GORGOSALICE NICOLA        M  M 45  LARUS NUOTO                         01.14.00 
50  GUCCIARDI MASSIMO         M  M 45  SEVEN MASTER NUOTO ASD              01.14.00 
51  FATTORINI MARIO           M  M 45  NUOTO LIVORNO                       01.13.20 
52  MALCOTTI GIULIA           F  M 25  CSI NUOTO PRATO                     01.13.00 
53  GUIDI GABRIELE            M  M 35  B2K SWIM TEAM ASD                   01.12.00 
54  FERRANDO ELEONORA         F  M 45  NUOTATORI GENOVESI                  01.12.00 
55  BALATRESI ELISA           F  M 25  NUOTOPIU' ACADEMY                   01.11.00 
56  TONNI ANDREA              M  M 30  CSI NUOTO PRATO                     01.10.00 
57  MALPAGANTI MATTEO         M  M 30  CSI NUOTO PRATO                     01.10.00 
58  VALDISERRI SILVIA         F  M 30  NUOTOPIU' ACADEMY                   01.10.00 
59  FORNASARI ANDREA          M  M 40  RINASCITA TEAM ROMAGNA              01.09.90 
60  GENOVESE ALESSANDRO       M  M 35  NUOTATORI GENOVESI                  01.08.00 
61  ADORNATO ALBERTO          M  M 30  NUOTATORI GENOVESI                  01.07.00 
62  MAZZI JACOPO              M  U 25  CSI NUOTO PRATO                     01.06.00 
63  PAPINI SARA               F  M 25  FIRENZE NUOTA MASTER                01.06.00 
64  PIATTELLI DIEGO           M  M 25  DLF NUOTO LIVORNO                   01.05.00 
65  SANESI RICCARDO           M  M 25  CSI NUOTO PRATO                     01.04.00 
66  PELLEGRINI MARCO          M  M 35  RINASCITA TEAM ROMAGNA              01.04.00 
67  LOPEZ MARTINEZ PASCUAL    M  M 35  KLAB NUOTO MASTER                   01.03.10 
68  BORTOLOTTI SIMONE         M  U 25  CSI NUOTO PRATO                     01.02.00 
69  VIGNAROLI RICCARDO        M  U 25  KLAB NUOTO MASTER                   01.01.60 
70  STEFANORI ENRICO          M  M 30  KLAB NUOTO MASTER                   01.01.00 
71  BORGHI MANUELE            M  M 35  NUOTO CLUB SASSUOLO                 01.01.00 
72  MACCIANTI MARCO           M  M 30  FIRENZE NUOTA MASTER                00.57.00 
Torna a inizio pagina
50 FA

1   BALLI MARIO               M  M 65  FIRENZE NUOTA MASTER                01.10.00 
2   DE AMBRIS CHIARA          F  M 30  B2K SWIM TEAM ASD                   00.59.00 
3   COLZI NICOLETTA           F  M 60  AMICI DEL NUOTO FIRENZE             00.56.00 
4   COMASTRI VALERIA          F  U 25  NUOTO CLUB SASSUOLO                 00.55.00 
5   MACCHIONI FIORELLA        F  M 65  AMICI DEL NUOTO FIRENZE             00.55.00 
6   GIANNELLI MARTA           F  M 45  FIRENZE NUOTA MASTER                00.52.00 
7   BESSI VERONICA            F  M 45  CSI NUOTO PRATO                     00.52.00 
8   GHILARDUCCI RENZA         F  M 45  NUOTO LUCCA CAPANNORI               00.51.00 
9   MUGNAINI FABRIZIO         M  M 50  CERTALDO NUOTO                      00.50.00 
10  GAGLIARDI GABRIELE        M  M 55  DIMENSIONE NUOTO PONTEDERA          00.50.00 
11  PACINOTTI ERIKA           F  M 35  FIRENZE NUOTA MASTER                00.49.00 
12  DE MEO PAOLO              M  M 35  01 ZEROUNO SSD - FIRENZE            00.49.00 
13  CANDI SIMONA              F  M 45  CSI NUOTO PRATO                     00.47.00 
14  SARTI ANDREJ              M  M 25  BONDENO NUOTO 2012 ASD              00.46.00 
15  GLORIA ALESSANDRA         F  M 25  NUOTO LIBERTAS ROSIGNANO            00.45.00 
16  SAURA MARCO               M  M 25  H SPORT - PRATO                     00.45.00 
17  BOSI ALESSANDRA           F  M 25  CHIMERA NUOTO                       00.45.00 
18  PAGANI LAURA              F  M 25  NUOTATORI GENOVESI                  00.45.00 
19  KILBOURN MEGAN            F  M 30  AMICI DEL NUOTO FIRENZE             00.45.00 
20  FREDUCCI CINZIA           F  M 30  AMICI DEL NUOTO FIRENZE             00.45.00 
21  BIANCHI TOMMASO           M  M 40  AMICI DEL NUOTO FIRENZE             00.45.00 
22  ANSELMI SIMONE            M  M 45  FIRENZE NUOTA MASTER                00.45.00 
23  DE ANGELIS LORETTA        F  M 50  VILLAGGIO SPORT. ESCHILO            00.45.00 
24  FABBRI BRUNO              M  M 50  AMICI DEL NUOTO FIRENZE             00.45.00 
25  GASPARRINI CLAUDIO        M  M 55  FIRENZE NUOTA MASTER                00.45.00 
26  CALAMAI MONICA            F  M 55  FIRENZE NUOTA MASTER                00.45.00 
27  CARRIERO VALERIA          F  M 25  NUOTO LIBERTAS ROSIGNANO            00.44.00 
28  BONTADINI SANDRO          M  M 45  CENTRO NUOTO UISP BOLOGNA           00.44.00 
29  CONTI ALESSANDRO          M  M 60  FIRENZE NUOTA MASTER                00.44.00 
30  ROSSI MARCO               M  M 65  FIRENZE NUOTA MASTER                00.44.00 
31  MERCOGLIANO ANTONIO       M  M 35  CSI NUOTO PRATO                     00.43.50 
32  PINZAUTI LUCA             M  M 30  AMICI DEL NUOTO FIRENZE             00.43.00 
33  MOLINARI VANNI            M  M 40  BONDENO NUOTO 2012 ASD              00.43.00 
34  ORSINI ELENA              F  M 45  FIRENZE NUOTA MASTER                00.43.00 
35  MONI MARCO                M  M 55  DIMENSIONE NUOTO PONTEDERA          00.42.50 
36  BERTINI MARCO             M  M 40  NUOTO LUCCA CAPANNORI               00.42.00 
37  PUGGELLI SERGIO           M  M 65  CSI NUOTO PRATO                     00.42.00 
38  ORLANDI ERICA             F  M 30  BONDENO NUOTO 2012 ASD              00.41.00 
39  BENVENUTI MASSIMO         M  M 45  CORSIA 8                            00.41.00 
40  MATTIOLI CHIARA           F  U 25  KLAB NUOTO MASTER                   00.40.80 
41  MECACCI LORENZO           M  U 25  KLAB NUOTO MASTER                   00.40.60 
42  VASCHIERI VALERIO         M  U 25  NUOTO CLUB SASSUOLO                 00.40.00 
43  CAPODARCA LUCIANO         M  M 45  CERTALDO NUOTO                      00.40.00 
44  FERRARIS ANGELO           M  M 50  NUOTO LIBERTAS ROSIGNANO            00.40.00 
45  CAMPOLMI MASSIMO          M  M 65  FIRENZE NUOTA MASTER                00.40.00 
